ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,class
-3.04264e-05,7.87049e-05,-1.08381e-05,3.07248e-05,3.362e-06,-1.20567e-05,2.42598e-05,-3.16025e-06,0
-3.11946e-05,7.42079e-05,-1.02418e-05,3.66474e-05,9.0125e-06,-9.55035e-06,2.54541e-05,-3.86051e-06,0
-3.13465e-05,5.69155e-05,-7.10892e-06,2.90496e-05,1.21274e-05,-5.9226e-06,2.61357e-05,-2.77599e-06,0
-3.18098e-05,3.43117e-05,-2.93688e-06,1.26562e-05,1.33477e-05,-2.69518e-06,2.7325e-05,-1.24145e-06,0
-3.23945e-05,1.13687e-05,3.86734e-08,-4.10007e-06,1.55051e-05,-6.2533e-07,2.7809e-05,-1.14482e-06,0
-3.15592e-05,-8.32442e-06,1.65635e-06,-1.37516e-05,1.55511e-05,-7.28261e-08,2.71752e-05,-1.63059e-06,0
-2.92989e-05,-1.82251e-05,1.7309e-06,-1.29802e-05,1.32471e-05,-8.81674e-08,2.68429e-05,-3.25347e-06,0
-2.77145e-05,-1.7746e-05,4.32407e-07,-8.47815e-06,1.16868e-05,1.43536e-06,2.78843e-05,-4.19687e-06,0
-2.7379e-05,-1.14295e-05,-1.23197e-06,-7.27844e-06,1.10516e-05,3.36398e-06,2.93404e-05,-3.74979e-06,0
-2.65258e-05,-6.0537e-06,-2.13896e-06,-6.09863e-06,1.28726e-05,3.10411e-06,2.80359e-05,-6.12797e-06,0
-2.80541e-05,-5.59768e-06,-7.38655e-07,1.04817e-06,1.93643e-05,-2.37448e-07,2.58419e-05,-6.62623e-06,0
-3.2677e-05,-4.40812e-06,1.45741e-07,9.478e-06,2.93737e-05,-1.8262e-06,2.38505e-05,-2.34453e-06,0
-3.34046e-05,2.27187e-06,7.6319e-09,1.32988e-05,3.72828e-05,-4.0894e-08,2.05386e-05,5.17024e-07,0
-2.93368e-05,1.13792e-05,-5.63085e-07,1.13928e-05,3.80413e-05,1.81619e-06,1.80856e-05,-1.48502e-06,0
-2.61617e-05,1.66766e-05,-3.61641e-06,5.68419e-06,3.44466e-05,3.7065e-06,1.6908e-05,-4.19205e-06,0
-2.65685e-05,1.68002e-05,-6.93594e-06,2.57516e-06,2.90379e-05,2.66098e-06,1.61388e-05,-3.37888e-06,0
-2.7505e-05,1.27181e-05,-8.64627e-06,2.69882e-06,2.29467e-05,-1.08888e-06,1.58397e-05,-2.18734e-06,0
